ts_code,cost_price,price
CRRM1-0430,,93.50
CRRG5-2662,,121.95
CRRG5-2658,,97.56
CRRG5-5064,,101.63
CRRM1-0014,,113.82
CRRM1-1083,,126.02
CRRM1-0102,,146.34
CRRM1-1044,,146.34
CRRG5-5460,,150.41
CRRM1-3008,,150.41
CRRG5-7061,,150.41
CRRM1-2524,,150.41
CRRG5-6701,,146.34
CRQ3985A,,150.41
CRRG5-4448,,150.41
CRRG5-4319,,150.41
CRRG5-5751,,211.39
CRRM1-3955,,85.37
CRRM1-4729,,101.63
CRRM1-8703,,101.63
CRRM2-5178,,146.34
CRRM1-8606,,146.34
CRRM1-8809,,101.63
CRRM1-7397,,162.60
CRRM1-8508,,150.41
CRRM1-8396,,162.60
CRRM1-8737,,203.26
CRRM2-0700,,150.41
CRCF367-67906,,203.26
CRRM1-4209,,101.63
CRRM1-4248,,101.63
CRRM1-6406,,101.63
CRRM1-3741,,97.56
CRRM1-6319,,138.21
CRRM1-4579,,162.60
CRH3980-60002,,130.08
CRC4118-67910,,101.63
CRC8058-67902,,113.82
CRQ2430A,,113.82
CRQ5422A,,146.34
CRQ2437A,,162.60
CRQ5999A,,154.47
CRC4110-69028,,162.60
CRQ7833-67901,,162.60
CRQ1860-69035,,186.99
CRQ7543-67910,,186.99
CRC3972-67903,,186.99
CRC3915-67902,,186.99
CRC9153A,,272.36
CRCE732A,,191.06
CRCF065A,,211.39
CRQ7812-67904,,154.47
CRCE525-67902,,162.60
CRCB389A,,186.99
C106R02311,,48.78
C09002303,,4.06
CTK310,,44.72
CDR2300,,40.65
50384591,,40.65
50384607,,40.65
50384614,,48.78
50384621,,40.65
50384638,,40.65
50384645,,40.65
50384652,,40.65
50384669,,40.65
50384676,,48.78
50384683,,40.65
50384690,,40.65
50384706,,40.65
50384713,,56.91
50384720,,65.04
50384737,,40.65
50383846,,16.26
CX340H11G,,60.98
CSFD560RA,,40.65
CMLTD305L,,69.11
CMLTD2082L,,56.91
CMLTD205E,,77.24
CMLTD103L,,44.72
CML1210,,32.52
CE260A21E,,48.78
CTK110,,24.39
CTK3110,,52.85
CTK3100,,40.65
CTK3130,,52.85
C1491A003BA,,48.78
CCF281A,,65.04
CC4182X,,69.11
C109004078,,81.30
CCF281X,,113.82
CC3906A,,28.46
C593-11109,,44.72
C593-11119,,60.98
C593-11167,,73.17
CDR7000,,65.04
50383761,,16.26
50383778,,16.26
50383785,,48.78
50383808,,32.52
50383822,,16.26
50384089,,56.91
50384096,,32.52
50384119,,40.65
50384126,,32.52
50384508,,12.20
CM4640,,17.89
CM4646,,27.65
CC6656A,,20.33
CC1823D,,36.59
CCC644E,,28.46
CCB304AE HP110,,19.52
CC9362E,,13.01
C51629AE,,28.46
C592-10177,,20.33
C592-10094,,17.89
C592-10043,,24.39
C592-10212,,17.89
C592-10211,,17.89
C10N0026,,34.96
CCH564E,,19.52
CCH563E,,19.52
CCB338E,,31.71
CC9361E,,17.89
CC8727A,,17.89
C51645A,,30.90
CM40,,20.33
C18Y0144E,,28.46
CCC656A,,19.52
CCC654A,,22.77
CCB336E,,30.08
CC9364E,,21.14
CC9352A,,17.08
CC9351A,,21.95
